,CashbackAmount,Tenure,CityTier,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,PreferredPaymentMode,PreferedOrderCat,Gender_Female,Gender_Male,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
5093,145.8,2.0,1,8.0,4,5,4,0,3.0,1,4,0,1,0,0,1
5043,152.81,7.0,1,16.0,4,1,2,0,11.0,3,4,0,1,0,1,0
2860,155.58,1.0,1,24.0,4,4,2,1,2.0,1,4,0,1,1,0,0
3922,193.83,9.0,1,34.0,4,3,4,0,8.0,4,2,0,1,0,1,0
3817,145.73,1.0,1,17.0,2,3,4,0,3.0,1,4,0,1,0,1,0
1313,117.9,0.0,3,15.0,3,5,2,0,0.0,5,4,0,1,0,1,0
1069,259.72,20.0,3,8.0,1,4,7,0,2.0,4,1,1,0,0,1,0
237,126.1,0.0,3,14.0,3,2,2,0,2.0,0,3,0,1,0,0,1
1640,235.25,15.0,3,32.0,3,4,6,0,8.0,5,1,1,0,0,1,0
1451,281.72,23.0,1,6.0,3,4,4,1,7.0,4,5,1,0,0,1,0
2716,153.8,29.0,3,17.0,4,5,5,0,0.0,5,2,1,0,0,1,0
4263,173.09,8.0,1,13.0,4,3,3,0,11.0,6,2,1,0,0,0,1
1229,125.87,19.0,1,14.0,3,1,2,0,0.0,4,3,0,1,0,0,1
2507,203.06,0.0,3,16.0,4,5,10,0,0.0,3,0,0,1,0,1,0
1777,127.68,7.0,1,8.0,4,3,4,0,7.0,4,3,0,1,0,1,0
988,140.87,5.0,1,6.0,3,5,5,0,2.0,1,2,0,1,0,1,0
5255,177.07,7.0,1,35.0,4,3,3,1,8.0,4,2,0,1,0,1,0
2683,110.81,0.0,3,15.0,3,1,2,0,0.0,3,4,0,1,0,0,1
3451,173.34,1.0,1,22.0,4,3,9,0,1.0,6,2,0,1,0,1,0
5239,208.76,13.0,1,13.0,4,4,6,0,3.0,4,0,1,0,0,0,1
3569,177.2,31.0,3,14.0,2,2,2,1,10.0,5,2,0,1,0,1,0
4689,201.25,12.0,1,7.0,2,1,2,0,9.0,4,2,1,0,0,0,1
1294,154.1,15.0,1,24.0,3,5,7,1,2.0,4,2,0,1,0,1,0
1815,124.0,0.0,3,14.0,3,1,1,0,1.0,0,3,0,1,0,1,0
2521,264.13,22.0,1,28.0,3,4,4,0,2.0,6,1,1,0,0,1,0
2875,152.56,7.0,1,21.0,4,4,3,0,7.0,3,4,1,0,1,0,0
1494,114.83000000000001,0.0,1,9.0,3,4,2,0,0.0,3,4,1,0,0,0,1
3295,187.88,12.0,1,19.0,5,5,4,0,3.0,4,2,0,1,0,1,0
3260,167.58,26.0,1,26.0,4,2,2,0,3.0,3,4,0,1,1,0,0
820,268.8,23.0,1,34.0,3,5,5,1,2.0,4,1,1,0,1,0,0
3462,154.42,30.0,1,16.0,4,3,4,0,4.0,3,4,1,0,1,0,0
1317,147.87,0.0,1,6.0,3,1,10,1,2.0,3,4,0,1,0,1,0
906,200.96,9.0,3,15.0,3,1,5,0,3.0,5,0,0,1,0,1,0
4136,192.12,8.0,3,35.0,5,3,3,0,8.0,5,2,1,0,0,1,0
5591,229.22,6.0,3,8.0,4,1,3,0,0.0,5,0,1,0,0,1,0
926,147.68,17.0,3,6.0,3,3,8,0,0.0,5,2,1,0,1,0,0
4384,168.45,5.0,1,7.0,6,3,2,0,5.0,3,2,0,1,0,1,0
5080,169.44,8.0,1,26.0,4,4,6,0,11.0,3,2,1,0,0,1,0
3635,293.8,24.0,1,35.0,4,5,6,1,3.0,4,1,1,0,1,0,0
794,205.12,30.0,1,24.0,3,2,7,0,4.0,3,0,0,1,0,0,1
1548,127.41,13.0,1,25.0,3,1,9,1,7.0,0,2,0,1,0,1,0
90,235.91000000000003,14.0,3,12.0,3,2,4,1,0.0,4,0,1,0,0,0,1
140,166.44,2.0,3,8.0,4,4,3,0,0.0,3,2,0,1,1,0,0
2838,170.59,1.0,3,27.0,6,3,5,1,3.0,4,2,1,0,1,0,0
938,186.2,2.0,3,25.0,4,3,2,0,4.0,4,2,0,1,0,1,0
146,218.49,10.0,1,35.0,3,4,2,1,0.0,4,0,0,1,1,0,0
2846,186.32,1.0,1,14.0,5,3,4,0,1.0,3,2,0,1,1,0,0
4271,185.74,1.0,1,14.0,6,3,3,1,7.0,4,2,0,1,0,0,1
2075,214.16000000000003,3.0,1,14.0,1,5,1,1,0.0,4,0,1,0,0,1,0
1602,294.36,13.0,1,8.0,3,3,1,0,9.0,3,5,0,1,0,1,0
2982,152.89,5.0,3,12.0,4,4,3,0,3.0,5,4,1,0,0,1,0
555,146.78,9.0,1,13.0,3,2,3,0,1.0,6,4,0,1,0,0,1
4590,167.3,9.0,1,29.0,6,3,2,0,4.0,4,4,0,1,0,0,1
4564,170.58,2.0,1,24.0,4,5,3,0,9.0,3,2,0,1,0,1,0
4720,176.21,8.0,1,15.0,4,5,5,0,1.0,4,2,1,0,0,1,0
122,159.57,7.0,1,8.0,4,5,7,0,9.0,4,2,0,1,1,0,0
3395,203.8,13.0,3,9.0,2,3,2,0,8.0,4,0,0,1,0,0,1
4736,168.42,1.0,3,15.0,4,1,2,0,2.0,5,2,0,1,0,1,0
1210,139.02,12.0,1,25.0,3,1,9,0,2.0,6,2,0,1,0,1,0
2193,123.75999999999999,8.0,1,14.0,4,1,2,0,2.0,6,3,0,1,0,1,0
4206,170.68,8.0,3,30.0,4,3,2,0,8.0,5,2,0,1,0,0,1
1654,148.21,4.0,1,11.0,3,1,1,1,3.0,1,4,0,1,0,1,0
2811,199.91,12.0,1,12.0,4,5,5,0,7.0,3,0,0,1,0,1,0
2355,247.32,28.0,1,7.0,1,1,3,0,0.0,3,1,0,1,0,1,0
2518,180.08,9.0,1,11.0,3,5,5,0,2.0,4,0,1,0,0,1,0
1990,128.0,0.0,3,6.0,4,3,7,1,2.0,0,3,1,0,0,1,0
3036,185.32,15.0,1,13.0,5,4,8,1,3.0,3,2,0,1,0,0,1
1160,179.91,19.0,3,32.0,4,4,9,0,2.0,4,2,0,1,0,0,1
1714,126.57,4.0,1,14.0,4,4,1,1,2.0,4,3,0,1,0,0,1
2988,161.88,10.0,1,25.0,3,2,6,0,1.0,4,4,0,1,1,0,0
3305,142.06,1.0,1,10.0,4,2,3,0,1.0,3,4,0,1,1,0,0
1213,110.81,0.0,3,15.0,3,1,2,0,0.0,3,4,0,1,0,0,1
792,145.38,7.0,3,8.0,3,5,1,1,2.0,5,2,1,0,0,0,1
1574,123.88999999999999,0.0,1,14.0,4,1,2,1,1.0,0,3,0,1,0,0,1
4777,184.33,18.0,1,11.0,4,4,11,0,4.0,3,2,0,1,0,0,1
965,197.15,2.0,1,14.0,5,5,4,0,7.0,6,2,1,0,0,1,0
3205,137.81,9.0,1,10.0,5,3,3,0,1.0,4,4,0,1,1,0,0
326,174.06,15.0,1,30.0,3,5,2,1,8.0,3,0,0,1,1,0,0
3548,311.06,27.0,1,14.0,4,3,5,0,8.0,3,5,1,0,0,1,0
3986,221.67,4.0,1,17.0,4,3,11,0,0.0,3,0,1,0,0,0,1
4289,190.67,23.0,1,27.0,4,5,3,0,12.0,3,2,1,0,0,1,0
2447,126.44,9.0,3,14.0,3,1,4,1,2.0,4,3,0,1,0,0,1
3878,166.87,3.0,3,12.0,5,4,3,1,10.0,3,2,0,1,0,1,0
3326,145.22,1.0,1,32.0,4,4,3,1,9.0,4,4,1,0,0,1,0
1284,163.23,13.0,1,17.0,3,3,2,0,4.0,1,2,1,0,0,1,0
3566,151.78,1.0,3,28.0,2,2,3,0,3.0,5,4,0,1,0,0,1
3802,173.55,2.0,1,9.0,4,4,6,0,5.0,3,2,0,1,0,1,0
2752,146.17,0.0,1,7.0,4,3,2,0,2.0,4,2,0,1,0,0,1
118,133.19,13.0,1,30.0,3,2,2,0,7.0,1,2,0,1,0,1,0
4481,200.47,5.0,3,14.0,4,1,6,0,8.0,5,2,0,1,0,1,0
132,294.36,13.0,1,8.0,3,3,1,0,9.0,3,5,0,1,0,1,0
2783,117.9,0.0,3,15.0,3,5,2,0,0.0,5,4,0,1,0,1,0
3396,256.94,4.0,3,31.0,2,4,6,1,1.0,4,1,1,0,0,0,1
388,110.09,0.0,1,16.0,3,3,2,1,1.0,3,4,0,1,0,0,1
5324,204.45,14.0,1,23.0,4,1,8,1,4.0,4,0,1,0,0,0,1
1222,138.86,9.0,2,8.0,4,1,2,0,8.0,6,2,0,1,0,0,1
2019,205.52,30.0,1,11.0,4,4,3,1,4.0,2,0,1,0,0,1,0
924,153.01,3.0,3,22.0,3,3,9,0,2.0,4,2,0,1,1,0,0
951,260.32,27.0,1,17.0,3,1,4,0,12.0,3,1,1,0,0,1,0
4895,167.4,22.0,1,13.0,5,3,4,0,3.0,4,2,0,1,0,0,1
3579,147.35,1.0,1,21.0,4,5,3,1,9.0,4,4,0,1,1,0,0
3424,149.51,1.0,1,15.0,6,5,3,0,2.0,4,4,0,1,1,0,0
5235,237.44,6.0,1,17.0,4,1,4,0,1.0,3,0,0,1,0,0,1
5449,150.92,12.0,2,9.0,4,4,7,0,9.0,6,4,0,1,0,1,0
3384,194.49,7.0,1,7.0,5,2,2,0,5.0,4,2,1,0,0,0,1
1662,149.41,15.0,1,14.0,4,4,3,0,7.0,3,2,0,1,0,1,0
1232,233.48000000000002,15.0,1,12.0,3,5,10,0,7.0,3,0,0,1,0,1,0
3663,178.63,9.0,1,7.0,5,2,2,0,1.0,3,2,1,0,1,0,0
840,136.69,0.0,1,25.0,3,2,4,0,2.0,3,4,0,1,1,0,0
3124,231.48000000000002,5.0,1,16.0,4,4,3,0,9.0,4,0,0,1,0,1,0
742,278.56,23.0,1,8.0,3,5,3,0,2.0,3,1,1,0,1,0,0
3268,184.8,12.0,1,9.0,2,5,8,1,13.0,4,2,1,0,0,0,1
3379,154.73,1.0,1,11.0,4,5,3,0,1.0,1,4,0,1,0,0,1
4051,150.44,1.0,1,13.0,2,1,2,0,8.0,6,4,0,1,0,1,0
3512,165.33,8.0,1,9.0,4,3,4,0,3.0,4,2,0,1,0,0,1
1464,269.59,16.0,3,32.0,3,1,2,1,12.0,4,1,0,1,0,1,0
2497,131.17,0.0,1,11.0,3,1,2,0,2.0,0,3,0,1,0,0,1
4260,145.73,1.0,2,13.0,4,5,6,1,3.0,6,4,0,1,0,1,0
818,134.23,19.0,2,6.0,3,5,7,0,7.0,4,3,1,0,0,0,1
4640,145.33,1.0,3,19.0,5,5,3,0,1.0,4,4,0,1,0,1,0
4572,173.1,20.0,1,25.0,4,3,4,0,9.0,3,2,1,0,0,1,0
59,144.5,26.0,1,19.0,2,5,2,0,3.0,3,2,1,0,0,1,0
127,123.4,2.0,1,14.0,3,2,2,0,5.0,4,3,0,1,0,0,1
1694,146.49,2.0,3,8.0,3,3,2,0,2.0,4,2,0,1,0,1,0
5338,152.83,1.0,3,9.0,4,3,3,0,3.0,3,4,1,0,0,0,1
5620,162.85,3.0,1,35.0,5,5,3,0,5.0,3,4,1,0,0,0,1
3695,204.88,3.0,2,24.0,5,5,3,0,10.0,6,0,0,1,0,0,1
2449,124.50999999999999,2.0,1,14.0,1,3,7,0,0.0,4,3,0,1,0,1,0
2870,164.29,5.0,1,19.0,4,2,10,1,3.0,3,4,1,0,1,0,0
4099,188.23,14.0,1,18.0,4,3,3,0,5.0,1,2,1,0,0,1,0
2143,123.13,0.0,1,31.0,4,4,5,1,2.0,0,3,0,1,0,0,1
2975,146.15,11.0,1,7.0,4,2,3,0,8.0,4,4,1,0,0,0,1
5425,155.55,7.0,1,11.0,4,4,7,0,8.0,1,2,0,1,0,1,0
1285,156.77,13.0,3,8.0,3,4,4,0,10.0,5,2,1,0,0,1,0
4332,145.88,10.0,1,10.0,4,4,6,0,3.0,3,4,0,1,0,0,1
977,126.44,9.0,3,14.0,3,1,4,1,2.0,4,3,0,1,0,0,1
2583,132.95,0.0,1,10.0,3,4,2,0,2.0,0,3,1,0,0,0,1
1522,111.02000000000001,0.0,1,8.0,4,1,2,0,0.0,4,4,0,1,0,0,1
203,146.82,6.0,3,16.0,4,2,4,0,1.0,5,2,0,1,0,0,1
3987,146.48,1.0,2,27.0,4,4,2,1,5.0,3,4,1,0,0,1,0
5438,208.21,10.0,1,17.0,4,5,9,1,8.0,4,0,0,1,0,1,0
1601,125.93,15.0,1,14.0,4,5,1,1,8.0,0,3,1,0,0,1,0
4370,229.0,1.0,3,11.0,6,1,3,0,0.0,3,0,0,1,0,1,0
2461,295.86,28.0,3,32.0,4,1,2,0,13.0,5,5,0,1,0,1,0
4854,194.49,7.0,1,7.0,5,1,2,0,5.0,4,2,1,0,0,0,1
2402,157.65,0.0,3,19.0,3,4,6,0,0.0,1,2,1,0,0,0,1
3184,150.79,8.0,3,21.0,4,3,3,1,7.0,1,4,1,0,0,1,0
1707,126.1,0.0,3,14.0,3,1,2,0,2.0,0,3,0,1,0,0,1
5406,146.8,1.0,2,15.0,5,1,8,0,3.0,6,4,1,0,0,1,0
3910,170.02,10.0,3,9.0,4,1,5,0,8.0,4,2,1,0,0,0,1
4537,150.43,10.0,1,9.0,4,3,6,0,3.0,4,4,1,0,0,1,0
2102,197.25,7.0,3,6.0,1,1,1,0,9.0,5,2,0,1,0,1,0
1485,142.0,0.0,1,15.0,3,5,8,0,4.0,3,4,1,0,0,0,1
1870,145.77,0.0,3,9.0,3,3,10,0,0.0,4,2,1,0,0,0,1
2403,145.99,0.0,3,30.0,4,4,1,1,10.0,3,2,1,0,0,0,1
252,125.43,9.0,1,14.0,3,3,5,0,2.0,4,3,1,0,1,0,0
1622,156.05,11.0,3,13.0,1,5,2,1,7.0,3,2,1,0,0,1,0
1505,123.22999999999999,0.0,1,14.0,3,1,2,0,2.0,0,3,0,1,0,1,0
333,209.32,13.0,3,34.0,5,5,4,0,0.0,6,0,0,1,0,1,0
4758,168.82,1.0,1,9.0,4,3,8,0,2.0,3,4,0,1,0,0,1
3029,187.14,1.0,3,15.0,4,4,3,0,8.0,5,2,1,0,1,0,0
3012,175.55,6.0,1,9.0,3,2,9,0,8.0,3,2,1,0,0,0,1
3622,158.39,1.0,1,14.0,4,3,5,1,8.0,1,4,1,0,0,1,0
1939,127.0,2.0,1,29.0,1,3,2,0,7.0,4,3,0,1,0,1,0
644,120.07,0.0,1,6.0,4,3,2,0,3.0,0,3,1,0,0,1,0
898,120.66,0.0,1,6.0,3,5,3,0,0.0,4,3,1,0,1,0,0
2593,134.45,0.0,1,14.0,3,1,2,0,4.0,0,3,1,0,0,0,1
3110,244.35000000000002,3.0,1,10.0,5,3,3,0,8.0,3,0,0,1,1,0,0
3943,176.47,7.0,3,9.0,4,4,10,0,8.0,5,2,1,0,0,0,1
4706,151.42,3.0,3,17.0,4,3,3,0,1.0,4,4,0,1,0,0,1
3631,171.27,4.0,1,13.0,5,2,2,0,8.0,1,2,1,0,1,0,0
598,208.45,19.0,1,13.0,3,3,7,0,7.0,3,0,0,1,0,1,0
446,143.64,0.0,1,6.0,5,2,4,0,0.0,4,4,1,0,0,1,0
5608,214.38,15.0,3,10.0,5,4,4,0,0.0,4,2,0,1,0,1,0
5250,222.15,3.0,1,15.0,6,5,5,0,0.0,6,2,1,0,0,1,0
1837,254.01999999999998,21.0,1,6.0,4,5,8,0,2.0,4,1,1,0,0,1,0
3062,190.4,9.0,1,16.0,5,4,11,0,1.0,4,2,0,1,0,0,1
3118,175.7,21.0,1,9.0,4,2,7,0,5.0,3,2,1,0,0,1,0
4857,146.57,3.0,3,27.0,4,1,3,0,3.0,1,4,1,0,0,1,0
5119,171.61,14.0,1,9.0,4,1,3,0,9.0,4,2,0,1,0,0,1
466,153.24,0.0,3,22.0,3,5,6,0,2.0,5,2,1,0,0,0,1
551,140.14,8.0,1,27.0,3,2,2,1,7.0,4,2,1,0,1,0,0
3296,150.53,8.0,1,23.0,5,2,3,0,4.0,4,4,1,0,0,0,1
1079,126.55000000000001,11.0,3,14.0,3,3,3,1,7.0,0,3,1,0,0,1,0
1052,232.69,23.0,1,23.0,4,5,6,0,11.0,4,0,1,0,0,1,0
3611,146.54,2.0,1,7.0,4,3,2,1,3.0,3,4,0,1,0,0,1
2958,259.96,19.0,1,27.0,4,2,2,1,11.0,3,1,0,1,1,0,0
3767,148.62,1.0,1,7.0,5,5,8,0,8.0,1,4,0,1,0,0,1
2141,136.91,0.0,1,10.0,3,1,2,1,6.0,1,4,0,1,0,1,0
5430,185.29,8.0,3,10.0,6,1,7,0,3.0,4,2,1,0,0,0,1
4541,149.76,4.0,3,9.0,4,4,3,0,1.0,1,4,0,1,0,1,0
5187,157.94,8.0,1,8.0,5,4,7,0,3.0,4,4,1,0,0,1,0
4079,175.03,5.0,1,7.0,6,5,3,0,8.0,4,2,0,1,0,1,0
3502,233.2,17.0,1,34.0,4,5,10,0,2.0,4,0,1,0,1,0,0
568,203.25,0.0,3,9.0,4,2,2,1,7.0,4,0,0,1,1,0,0
3838,178.77,13.0,1,17.0,4,5,4,0,8.0,3,2,0,1,0,1,0
3687,148.94,1.0,1,24.0,4,3,3,1,8.0,4,4,1,0,0,0,1
5247,148.08,8.0,3,14.0,4,3,2,1,8.0,1,4,0,1,0,1,0
2579,149.78,20.0,3,8.0,3,4,8,0,0.0,5,2,0,1,0,1,0
3050,192.55,31.0,1,7.0,4,3,4,0,3.0,3,2,0,1,1,0,0
3270,150.72,9.0,3,15.0,4,2,3,0,3.0,4,4,1,0,1,0,0
4798,167.56,1.0,3,11.0,5,5,3,0,4.0,5,2,0,1,0,1,0
188,218.77999999999997,6.0,1,11.0,3,4,7,0,0.0,4,0,1,0,1,0,0
2052,150.67,20.0,1,22.0,1,3,2,1,7.0,3,2,0,1,0,1,0
2821,145.86,3.0,3,12.0,4,2,5,0,1.0,1,2,0,1,1,0,0
3410,146.32,1.0,1,29.0,4,3,6,1,2.0,4,4,1,0,1,0,0
5378,217.41,15.0,3,13.0,4,3,3,0,0.0,5,0,0,1,0,0,1
5062,150.17,1.0,1,11.0,4,3,3,0,4.0,4,4,0,1,0,1,0
1002,120.72999999999999,0.0,1,16.0,1,3,3,0,2.0,2,3,0,1,0,1,0
2026,235.82,11.0,1,6.0,3,5,2,0,11.0,2,0,1,0,0,1,0
1821,121.27000000000001,0.0,1,23.0,4,4,2,0,0.0,6,3,0,1,0,1,0
5088,204.78,8.0,1,22.0,4,1,3,0,6.0,3,0,1,0,0,1,0
5498,135.81,1.0,3,16.0,4,1,3,0,1.0,3,4,0,1,0,0,1
653,146.15,19.0,1,14.0,4,5,9,1,7.0,4,2,1,0,0,1,0
3209,152.2,3.0,1,7.0,6,2,3,0,9.0,4,4,0,1,0,1,0
668,122.07,0.0,1,21.0,3,3,2,0,2.0,4,3,0,1,0,1,0
1011,124.08000000000001,0.0,1,14.0,3,4,2,1,0.0,0,3,0,1,0,1,0
210,174.57,13.0,3,6.0,5,2,3,1,2.0,3,2,0,1,1,0,0
964,142.85,10.0,1,19.0,3,1,2,0,7.0,3,2,0,1,0,1,0
2673,135.4,0.0,3,29.0,4,3,2,0,8.0,3,2,1,0,0,1,0
1065,154.7,5.0,1,8.0,3,4,1,0,6.0,3,2,0,1,0,1,0
5134,175.71,1.0,3,9.0,6,1,5,0,1.0,4,2,0,1,0,0,1
2147,143.02,6.0,3,13.0,3,4,1,0,2.0,4,2,1,0,0,1,0
4573,170.23,16.0,1,35.0,5,1,2,0,5.0,1,2,1,0,0,1,0
393,140.28,11.0,3,13.0,4,2,1,0,5.0,5,2,1,0,0,0,1
2071,141.48,4.0,1,6.0,3,5,2,0,3.0,4,2,1,0,0,1,0
4727,187.74,8.0,3,9.0,4,1,3,0,5.0,6,2,0,1,0,0,1
3201,213.47,10.0,1,16.0,5,4,4,1,0.0,3,2,0,1,0,1,0
3178,165.89,16.0,1,9.0,4,2,3,0,3.0,4,2,1,0,1,0,0
3319,174.36,2.0,2,15.0,5,2,3,0,5.0,3,4,0,1,0,1,0
4173,151.61,8.0,1,26.0,4,1,2,0,3.0,3,4,0,1,0,1,0
5519,206.03,8.0,3,10.0,5,1,5,1,2.0,3,2,1,0,0,1,0
2133,136.6,1.0,1,16.0,3,3,4,0,7.0,6,2,1,0,0,0,1
232,121.74000000000001,0.0,3,6.0,4,4,2,1,2.0,2,3,1,0,0,0,1
5512,175.33,18.0,1,8.0,2,5,4,0,3.0,4,2,0,1,0,1,0
4818,150.59,18.0,1,16.0,4,5,3,1,2.0,4,4,0,1,0,1,0
1672,152.38,2.0,3,9.0,3,3,5,1,0.0,3,2,1,0,0,1,0
3947,206.61,1.0,3,23.0,4,3,4,0,1.0,5,0,0,1,0,1,0
1116,196.1,5.0,3,25.0,5,3,4,0,2.0,4,0,0,1,0,1,0
3437,193.61,12.0,3,10.0,4,2,10,1,1.0,4,2,0,1,0,0,1
1690,129.04,0.0,1,32.0,3,1,2,0,2.0,4,3,0,1,0,1,0
1463,128.35,9.0,1,9.0,3,1,6,0,0.0,4,3,1,0,0,1,0
4833,152.99,7.0,1,7.0,5,5,5,1,3.0,6,4,0,1,0,0,1
4896,234.99,22.0,1,11.0,5,3,9,0,9.0,4,0,0,1,0,0,1
4144,173.5,19.0,3,27.0,4,3,10,0,2.0,4,2,1,0,0,0,1
2451,197.14,0.0,3,7.0,4,5,2,0,7.0,4,2,0,1,0,1,0
3402,159.52,7.0,1,20.0,4,2,5,0,3.0,4,4,1,0,0,0,1
490,117.06,0.0,1,9.0,3,2,2,0,0.0,3,4,0,1,1,0,0
1483,186.39,0.0,3,34.0,4,3,3,0,2.0,4,2,0,1,0,1,0
2832,182.44,1.0,3,12.0,5,3,3,1,4.0,5,2,0,1,0,0,1
1200,139.68,15.0,1,14.0,3,3,5,0,0.0,4,4,0,1,0,0,1
287,148.1,19.0,1,24.0,3,3,3,0,8.0,3,2,1,0,0,1,0
2651,196.37,4.0,3,13.0,3,5,3,0,2.0,5,0,1,0,0,1,0
1610,166.44,2.0,3,8.0,4,4,3,0,0.0,3,2,0,1,0,1,0
1562,120.58000000000001,0.0,1,6.0,3,3,1,0,5.0,2,3,0,1,0,0,1
2527,143.74,9.0,1,7.0,4,3,1,0,2.0,3,2,1,0,0,1,0
3911,232.48000000000002,19.0,1,7.0,5,3,5,0,5.0,4,0,0,1,0,1,0
4612,173.05,19.0,3,9.0,4,4,2,0,8.0,6,2,0,1,0,1,0
868,162.32,0.0,3,24.0,1,3,3,0,2.0,4,2,0,1,1,0,0
817,170.94,9.0,1,16.0,3,3,4,0,7.0,1,0,1,0,1,0,0
3676,186.2,13.0,3,28.0,5,2,5,1,5.0,4,2,0,1,1,0,0
2780,124.36000000000001,17.0,1,14.0,3,1,7,1,2.0,0,3,0,1,0,0,1
1907,126.86000000000001,0.0,1,6.0,3,1,2,1,8.0,6,3,0,1,0,0,1
4376,191.96,1.0,3,33.0,5,5,7,0,2.0,5,2,1,0,0,0,1
1866,146.47,0.0,3,9.0,1,1,2,1,4.0,3,2,1,0,0,1,0
250,145.0,22.0,1,13.0,4,3,9,0,0.0,6,0,0,1,0,0,1
4415,173.98,1.0,1,7.0,4,3,2,0,3.0,4,2,1,0,0,1,0
5315,155.69,13.0,1,10.0,5,3,2,0,8.0,3,2,0,1,0,1,0
1363,254.26999999999998,26.0,3,8.0,4,1,3,0,7.0,4,1,1,0,0,1,0
1371,139.19,0.0,1,22.0,5,5,2,1,7.0,4,4,1,0,0,0,1
1,120.9,0.0,1,8.0,4,3,7,1,0.0,6,3,0,1,0,0,1
1841,134.47,0.0,3,28.0,3,3,2,0,2.0,1,3,0,1,0,0,1
2148,129.79,7.0,1,9.0,4,1,4,0,0.0,4,3,0,1,0,1,0
2938,164.2,11.0,1,7.0,5,5,4,0,3.0,3,4,1,0,1,0,0
2376,200.96,9.0,3,15.0,3,1,5,0,3.0,5,0,0,1,0,1,0
1607,121.75999999999999,0.0,1,8.0,4,5,5,0,4.0,2,2,0,1,0,0,1
226,123.69999999999999,5.0,1,14.0,3,4,2,0,7.0,0,3,1,0,1,0,0
712,234.99,13.0,1,15.0,3,3,10,0,13.0,3,0,1,0,0,0,1
3879,180.05,7.0,3,9.0,4,1,3,0,5.0,3,2,0,1,0,1,0
3904,203.79,18.0,1,9.0,2,1,3,1,8.0,4,0,1,0,0,1,0
